Source,State,AgreeName,Address,Units,Active Units,FDH Activation Date,City,RE Assigned,ROE Executed Date,PAL Executed Date,RE Status,Closed Date,Closed Bucket,Closed Notes,Existing Fiber Provider,Off Hold/Exp Date,Notes,Management Company,Owner/Property Contact
Site Data,NE,NE_OMAHA_SA06_FDH37_MDU_ EGAD LLC,4020 IZARD ST UNIT 101 OMAHA NE 68131,9,0,11/18/2025,NE,RS,,,Closed - Lost,46048,Existing Fiber,1/26 Spoke with Greg the owner (both buildings 4020 & 4032 Izard St.)  he has Quest Fiber and does not want any other fiber installed. ,Quest,,1/26 Access Denied ,Owner owned: they also own next door building with 8 units ,"EGAD LLC
 - 402-618-3290 -Owner: 
Parcel ID (PIN) - 2406590000
Property Address - 4020 IZARD ST 
gregc3@icloud.com
4032 IZARD ST, OMAHA, NE 68131"
Site Data,NE,Omaha_MDU_4023 HAMILTON ST,4023 HAMILTON ST UNIT 1 OMAHA NE 68131,9,0,11/3/2025,Omaha,RS,45987,,Completed,45987,,ROE obtained,,,ROE obtained,"Paladino Development 
(402) 763-0311 (p) 
Victor Ramirez  402-708-1211  pdgdirector@paladinodevelopmentgroup.com","Paladino Development Group
(402) 763-0311 (p) 
Victor Ramirez  402-708-1211  pdgdirector@paladinodevelopmentgroup.com
associated address: 4822- 4826 Sahler St.  (2 blds 9 apts ea) "
Site Data,NE,Omaha_MDU_4902_4904 N Chicago St,406 N 49TH ST UNIT 1 OMAHA NE 68132,9,0,9/30/2025,Omaha,RS,,,Closed - Lost,46057,Not Interested,"2/4 Spk with MaryAnn, she said all the property owners we inquired about were not interested in having the fiber installed. Please take off the list. ",,,"2/4 Cancelled ROE / Spk with MaryAnn, she said all the property owners we inquired about were not interested in having the fiber installed. Please take off the list. 
2/3 EM/VM F/U on ROE Status
1/26 -ROE via IC / Spk to Mindy, prop. Mgr - she gave me Owners em: Marianne - mdoner@rentpure.com ROE Sent via Ironclad.  2 Bldgs on same parcel, separate addresses. ","Pure Operating Management / 
CPM - 406 N 49th Sst
5015 Dodge St, Suite 1, Omaha, NE 68132
(402) 559-0363 (p)
www.puremgmt.com
Lily Mora-Prpperty Manager
(402) 559-0363 (p)
lmora@cpmrealty.net","Glendale Properties LLC
 -Owner -Mary Ann Doner  mdoner@rentpure.com 
Parcel ID (PIN) - 0951930000 / 2 Blds 1 parcel / 8 units 
2807 ANNABELLE Dr, BELLEVUE, NE 68123 
Property Address - 406 N 49 ST  & 4902 N CHICAGO ST OMAHA NE 68132"
Site Data,NE,Omaha_MDU_409 N 49th St,"409 N 49TH ST UNIT A OMAHA NE 68132
4822 Chicago St legal address
409, 411 N 49th as well as 4822 4824 Chicago St. on same parcel ",21,0,9/23/2025,Omaha,RS,,,Closed - Lost,46055,Existing Fiber,Existing Quantum Fiber ,Quantum Fiber,,"2/2 Quantum Fiber 
1/27 Possible PAL - Chuck/ Melissa
1/26 LMTCB w Heath Paulsen - pending return call ","Thrive Street - Buckingham Manor
4817-4821 Chicago St, Omaha, NE 68132
(402) 895-6885 (p)
Haley w/ Thrive Street Living (Prop.Mgnt) 402-739-8282 hcox@thrivestreetliving.com 
www.thrivestreetliving.com","JGC Investments LLC
Paulsen Smith Properties LLC
4823 Cass St, Omaha, NE 68132
Parcel ID (PIN) - 0953240000
Property Address - 4822 CHICAGO ST 
True Owner- Heath D Paulsen
903 Ivy Ct., Bellevue, NE 68005
Heath Paulsen -Owner (402) 393-6468 (p)
heathpaulsen@hotmail.com"
Site Data,NE,Omaha_MDU_4114-4122 N 48th St Apartments,4114 N 48TH ST UNIT 1 OMAHA NE 68104,10,0,6/15/2024,Omaha,RS,,,Closed - Lost,45589,Other, 4114-4122 N 48th St. (9 units) – this building is abandoned and all boarded up – there are no tenants living in this building. Darrin W. cancelled this location.,,,Building Abandoned,Building Abandoned,Building Abandoned
Site Data,NE,Omaha_MDU_417 N 49th St,"413 N 49TH ST UNIT 1 OMAHA NE 68132
417, 415, 413 N 49th St. also on this parcel ",16,0,45923,Omaha,RS,,,Closed - Lost,46055,Existing Fiber,Existing Quantum Fiber ,Quantum Fiber,,"1/26  Possible PAL w/ Chuck McNeely/Melissa Baker 
Spk to Haley, will send her all addresses of locations owned/managed by JGC Investments and she will see if she can help find right person. ","Haley w/ Thrive Street Living (Prop.Mgnt) 402-739-8282 hcox@thrivestreetliving.com 
Parcel ID (PIN) - 0953230000
Property Address -4825 Cass St Omaha, NE 68132","JGC Investments LLC
True Owner: Thrive Street Living
5074-5088 S 107th Ave, Omaha, NE 68127
(402) 934-5608 (p)
Haley Cox: EM: HCOX@thrivestreetliving.com 402-739-8282
Genna Campbell- Owner/Principal (402) 739-8282 (p)
gcampbell@thrivestreetliving.com
Donald Session -Portfolio Mgr (dsession@thrivestreetliving.com)"
Site Data,NE,Omaha_MDU_4157 Hamilton St,4157 HAMILTON ST UNIT 1 OMAHA NE 68131,23,0,11/3/2025,Omaha,RS,,,Closed - Market Reviewed,46086,Not Interested,"3/5 LL Not interested in proposal / closed 
2/2 9 Unable to Reach LL - Need Market Assistance 
2/2unable to locate a POC / exhaused all avenues to locate a POC",,,"
3/5 LL Not interested in proposal / closed 
3/4 Market Notes: 712-256-7200, 402-282-8200	
Internet search: PRM / Evergreen Apartments 402-282-8200
2/18 Need Market Assistance 
unable to locate Property Owner - 1/30",STEVE S WEAVER; SUZANNE C W,"EVERGREEN APARTMENTS LLC
21431 SILVER DR, TEHACHAPI, CA 93561
Parcel ID (PIN) - 2408970000
Property Address - 4157 HAMILTON ST 
Recorded Owner: Iontach Investments LLC - company closed
PO BOX 111160, OMAHA, NE 68111"
Site Data,NE,Omaha_MDU_4803 Boyd St Apartments,"4224 N 48TH ST UNIT 101 OMAHA NE 68104
Actual Property Address - 4803 BOYD ST 
Bayview Apartments ",14,0,5/23/2025,Omaha,RS,45644,,Completed,45644,,"ROE obtained
Actual Address is 4803 Boyd - ROE signed 12/18/2024",,,2/3 Actual Address is 4803 Boyd - ROE signed 12/18/2024,"Parcel ID (PIN) - 1627950000
Owner - BAYVIEW APARTMENTS LLC 
Property Address - 4803 BOYD ST ","BAYVIEW APARTMENTS LLC
2702 DOUGLAS ST, OMAHA, NE 68131 402-553-8111 /Paladino Properties "
Site Data,NE,Omaha_MDU_Richland Apartments,4234 N 87TH AVE OMAHA NE 68134,16,0,12/29/2023,Omaha,RS,,,Closed - Lost,45589,Not Interested,LL Denied Access - Sarah Nothhorn <snothhorn@ohauthority.org - OHA currently has contractors and inspectors all over their properties and simply do not have additional resources to manage anything else,,,LL Denied Access ,,
Site Data,NE,Omaha_MDU_Birchwood Apts,4304 N 88TH PLZ OMAHA NE 68134,24,1,4/28/2025,Omaha,RS,45530,,Completed,45530,,ROE obtained,,,ROE obtained,"Donna Poor - Property Mgr
dpoor@commall.org / 
Dave Dublap is the Facilities Mgr -Dave Dunlap <ddunlap@commall.org>","Community Alliance Housing
Birchwood Apts. Property Mgr. 402-506 7846 
(402) 341-5128 / Donna Poor dpoor@commall.org "
Site Data,NE,Omaha_MDU_Rue Charles Apartments,4311 CHARLES ST UNIT 1 OMAHA NE 68131 Rue Charles Apartments,17,0,8/7/2025,Omaha,RS,,,Closed - Lost,46076,Not Interested,"2/23 spk with Haley, LL not interested in having fiber - Canceled ROE. ",,,"2/23 spk with Haley, LL not interested in having fiber - Canceled ROE. 
2/17 Spk w/ Haley she has the ROE, she will discuss w/owner and get back to me. 
2/11 Resent ROE Haley, the Property mgr - going to send the ROE 
2/1/2026  VM/ EM Sent to LL w/ ROE ","Property Management
Crown Management- Rue Charles Apartments
4311 Charles St, Omaha, NE 68131
(402) 342-2322 (p)
www.crownmanagementomaha.com
Parcel ID (PIN) - 2151630000
Owner - RUE CHARLES LLC 
Property Address - 4311 CHARLES ST ","XXIV Pleateau Consortium, LLC
4643 Farnam St Omaha, NE 68132
Crown Property Management
12109 Anne Street, Omaha, NE  68137
info@crownmanagementomaha.com
Office: (402) 490-0975 
After-hours emergencies: (402) 680-0325"
Site Data,NE,Omaha_MDU_4313 N 65th St,4313 N 65TH ST UNIT 10 OMAHA NE 68104,11,0,3/18/2025,Omaha,RS,45583,,Completed,45583,,ROE obtained,,,ROE obtained,"James L Bone (JD)  / Linda S Bone 
14936 Hawthorne Ave, Omaha, NE 68154
(402) 681-4206 (p)   jbone69 <jbone69@cox.net>","James L Bone (JD)  / Linda S Bone 
14936 Hawthorne Ave, Omaha, NE 68154
(402) 681-4206 (p)   jbone69 <jbone69@cox.net>"
Site Data,NE,Omaha_MDU_4318-4324 N 48th St Apartments,4318 N 48TH ST UNIT A OMAHA NE 68104,9,0,3/12/2025,Omaha,RS,45614,,Completed,45614,,ROE obtained,,,ROE obtained,"Paladino Development 
(402) 763-0311 (p) 
Victor Ramirez  402-708-1211  pdgdirector@paladinodevelopmentgroup.com","Paladino Development Group
(402) 763-0311 (p) 
Victor Ramirez  402-708-1211  pdgdirector@paladinodevelopmentgroup.com
associated address: 4822- 4826 Sahler St.  (2 blds 9 apts ea) "
Site Data,NE,Omaha_MDU_4437 Franklin St,4437 - 4439 FRANKLIN ST UNIT 1 OMAHA NE 68111,10,0,10/7/2025,Omaha,RS,,,Closed - Lost,46085,Not Interested,,,,"3/4 LL not interested / Spk to Brad Flannigan
Market Notes: 402-509-6464	Sign on bldg 
2/18 Need Market Assistance 
2/17 LMTCB / no response from owners 
2/11 Spk with Brad, he will review with his team, if he wants to move forward he will sign the ROE.  Sent ROE via Ironclad 
2/1/26 EM/ VM - Sent ROE to LL ","True Owner- Bradley Flanagan
18363 Military Rd, Bennington, NE 68007
(402) 541-7023 (p) (402) 650-3976 (m) -Jim Davis 
RTIflanagan@gmail.com","Flipping Flanagans LLC
4437 Franklin St. Omaha, NE 68111
True Owner- Bradley Flanagan
18363 Military Rd, Bennington, NE 68007
(402) 541-7023 (p  (402) 650-3976 (m)
RTIflanagan@gmail.com
Parcel ID (PIN) - 2146140000
Owner - FLIPPING FLANAGANS LLC 
Property Address - 4437 FRANKLIN ST "
Site Data,NE,Omaha_MDU_Benson Crest Apartments 1,4438 N 61ST ST UNIT 1 OMAHA NE 68104,18,1,6/30/2025,Omaha,RS,45733,,Completed,45368,,ROE obtained,,,"Benson Crest Apartments
ROE obtained","Daniel Realty LLC
Dr. Tesfaye A Kinde -(402) 680-2336 / danielrealtyllc@gmail.com
Property Management
Daniel Realty - Benson Crest
4438 N 61st St, Omaha, NE 68104
(402) 680-2336 (p)","Daniel Realty
120 S 68th St, Omaha, NE 68132
True Owner
Michael Polk
12515 Circle Dr
Omaha, NE 68144
(402) 707-2661 (p)
"
Site Data,NE,Omaha_MDU_4455 Franklin St,4455 -4457 FRANKLIN ST UNIT 10 OMAHA NE 68111,10,0,10/7/2025,Omaha,RS,,,Completed,46078,,ROE Obtained ,,,"
2/25 FE ROE obtained / notified team
2/24 Spk to Dave he is going to sign ROE 
2/17 Resent ROE to Mr. Dunlap for signature. 
2/11 VM / EM to Dave Dunlap to sgin the ROE 
2/1/26 ROE to LL ","Parcel ID (PIN) - 2146180000
Owner - COMMUNITY ALLIANCE HOUSING CO 
Property Address - 4455 FRANKLIN ST ","Community Alliance Housing 
""Donna Poor - Property Mgr  402.341.5128
dpoor@commall.org / 
Dave Dunlap is the Facilities Mgr -Dave Dunlap <ddunlap@commall.org>"""
Site Data,NE,OMAHA_MDU_Redman AVE APTS,"4461 - 4479 Redman OMAHA NE 68111
4461 Redman Ave Apartments",14,0,12/27/2023,OMAHA,RS,,,Closed - Market Reviewed,46065,,Market Review completed / Closed No Contact,,,"3/4 Closed / NO POC 
2/18 Need Market Assistance 
2/12 LMTCB again / No response to VM EM / Closed and requested Market Assistance. 
2/4 LMTCB  712-256-7200 / EM to Custserv@pmrproperties.com
2/3 Found Owner in St. Joe MO, reaching out to PMR Prop. Mgt to see if they manage this property. 
2/1/26 Unable to locate LL information
IonTach Investments Sold property to Rigg Heidort LLC (Heidorf ) in 2018","Parcel ID (PIN) - 1613320512
PMR Properties / Property Management
 712-256-7200
custserv@pmrproperties.com","RIGG-HEIDORF LLC
514 N 22 ST, ST JOSEPH, MO 64501"
Site Data,NE,Omaha_MDU_The Redman Townhomes & Apartments,4470 REDMAN AVE UNIT A OMAHA NE 68111,19,0,5/23/2025,Omaha,RS,45637,,Completed,45637,,ROE obtained,,,ROE obtained,"Paladino Development 
(402) 763-0311 (p) 
Victor Ramirez  402-708-1211  pdgdirector@paladinodevelopmentgroup.com","Paladino Development Group
(402) 763-0311 (p) 
Victor Ramirez  402-708-1211  pdgdirector@paladinodevelopmentgroup.com
associated address: 4822- 4826 Sahler St.  (2 blds 9 apts ea) "
Site Data,NE,Omaha_MDU_4484 Redman Ave,4484 REDMAN AVE UNIT A OMAHA NE 68111,19,0,5/23/2025,Omaha,RS,45644,,Completed,45644,,ROE obtained,,,ROE obtained,"Paladino Development 
(402) 763-0311 (p) 
Victor Ramirez  402-708-1211  pdgdirector@paladinodevelopmentgroup.com","Paladino Development Group
(402) 763-0311 (p) 
Victor Ramirez  402-708-1211  pdgdirector@paladinodevelopmentgroup.com
associated address: 4822- 4826 Sahler St.  (2 blds 9 apts ea) "
Site Data,NE,Omaha_MDU_4501 Lafayette Ave,"4501 LAFAYETTE AVE UNIT 1 OMAHA NE 68132
The Halford Apartments 12-plex  ",12,0,8/7/2025,Omaha,RS,,,Closed - Market Reviewed,46085,,"3/4 Market Review completed / Closed No Contact-Abandoned Building
2/9 Unable to Reach LL - Need Market Assistance 
2/4 Premier Management does not manage this property - unable to locate property mgr  or Owner POC.",,,"3/4 Market Notes: Abandoned Blgd
2/18 Need Market Assistance 
2/9 Spk w/ Marvin, Premier does not manage this property. 
2/4 Premier Management does not manage this property - unable to locate property mgr  or Owner POC. 
2/1/26 VM to LL - Pending confirmation of ownership","Parcel ID (PIN) - 2407320000
Owner - CNDB PROPERTIES LLC - 
The Halford Apartments
(402) 625-6295
Property Address - 4501 LAFAYETTE AV ","CNDB PROPERTIES LLC
Wave Investment Team Inc
3625 Chase St, Wheat Ridge, CO 80212
4501 Lafayette Ave - 12-plex
Apartments "
Site Data,NE,Omaha_MDU_4502 N 49th St,4502 N 49TH ST UNIT 1 OMAHA NE 68104,11,0,1/17/2025,Omaha,RS,45548,,Completed,45548,,ROE obtained,,,ROE obtained,"Paladino Development Group
(402) 763-0311 (p) 
Victor Ramirez  402-708-1211  pdgdirector@paladinodevelopmentgroup.com","Paladino Development Group
(402) 763-0311 (p) 
Victor Ramirez  402-708-1211  pdgdirector@paladinodevelopmentgroup.com"
Site Data,NE,Omaha_MDU_4505 Lafayette Ave Halford Apartments,"4505 LAFAYETTE AVE UNIT 1 OMAHA NE 68132
4505 Lafayette Ave - Halford Apartments",12,0,8/7/2025,Omaha,RS,,,Closed - Market Reviewed,46086,,"3/5 Market notes: not management company per contact with research notes. 
2/9 Unable to Reach LL - Need Market Assistance 
2/2 Unable to locate POC/owner info
1/22 No working phone numbers or emails to reach owners. ",,,"3/4 LMTCB / Market Notes: 402-342-1005 Omaha Premier Management / The Halford Apartments
2/18 Need Market Assistance 
2/9 Maxin has not managed this property in over 2 yrs. 
2/2 Unable to locate POC/owner info
1/22 No working phone numbers or emails to reach owners. ","Property Management
Not Property Mgr any longer: Maxin Realty Group (402) 991-1162 (p) Naomi - 
Parcel ID (PIN) - 2407340000
Property Address - 4505 LAFAYETTE AV ","Rob Khorram
Khorram Capital LLC 
19529 Marcy St, Elkhorn, NE 68022
(402) 763-8716 (p) not working # 
(410) 746-9267 (p)not working # 
"
Site Data,NE,Omaha_MDU_4509 Lafayette Ave,4509 LAFAYETTE AVE UNIT 1 OMAHA NE 68132,12,0,8/7/2025,Omaha,RS,,,Closed - Market Reviewed,46085,," 2/9 Unable to Reach LL - Need Market Assistance  
2/4 Management does not manage this property - unable to locate property mgr  or Owner POC.",,,"3/4 Market Notes: Abandoned Bldg
2/18 Need Market Assistance 
2/9 EM for Mr. Pick obtained - EM Proposal sent
2/4 Premier Management does not manage this property - unable to locate property mgr  or Owner POC. 
2/1 LL EM Bounced - need to find POC ","
Property Management
Point Guard is Premier Management
Parcel ID (PIN) - 2407360000
Owner - LAFAYETTE & NICHOLAS APARTMENT 
Property Address - 4509 LAFAYETTE AV ","B3 Capital LLC
True Owner-  Benjamin Pick
10250 Regency Cir, Suite 300, Omaha, NE 68114
Benjamin Pick (402) 397-5500 (p) (402) 639-8145 (m)  bpick@pheblaw.com "
Site Data,NE,Omaha_MDU_4513 Lafayette Ave,4513 LAFAYETTE AVE UNIT 1 OMAHA NE 68132,12,0,8/7/2025,Omaha,RS,,,Closed - Market Reviewed,46085,,"
2/9 Unable to Reach LL - Need Market Assistance
 2/2 Unable to locate POC/owner info
1/22 No working phone numbers or emails to reach owners. ",,,"3/4 Market Notes: No Viable POC Info /
2/18 Need Market Assistance 
2/2 Unable to locate POC/owner info
1/22 No working phone numbers or emails to reach owners. ","
Parcel ID (PIN) - 2407380000
Owner - KHORRAM CAPITAL LLC 
Property Address - 4513 LAFAYETTE AV ","Rob Khorram
Khorram Capital LLC
Jeffrey Boyum & Angela Aliano
5937 Chicago Ave, Minneapolis, MN 55417
(402) 932-8032 (p)
Khorram Capital LLC
True Owner  Jeffrey Boyum & Angela Aliano
5937 Chicago Ave, Minneapolis, MN 55417
(402) 932-8032 (p) not working # 
19529 Marcy St  Elkhorn, NE 68022"
Site Data,NE,Omaha_MDU_4524 Lafayette Ave,"4524 LAFAYETTE AVE UNIT 1 OMAHA NE 68132
LAFAYETTE & NICHOLAS APARTMENT",12,0,8/7/2025,Omaha,RS,,,Pending Signature,,,,,,"3/26 EM : austin@rogsterling.com
3/18 Spk w/Austin, they are still not readyyet to sign, need to do a lot of work yet on those buildings 
3/4 ROE to LL / at least 30 days before ready to review though.  Spk with Austin Compton, Prop. Mgr.  He does manage property, but lots of work going on at the moment / Security issues due to vegrants in area damaging properties.  It will be at least 30 days before he can even look at installing anything. 
Market Notes: 402-934-0074 Mangaed by RealtyOneGroup Sterling
2/18 Need Market Assistance 
2/9 EM for Mr. Pick obtained - EM Proposal sent
2/4 Premier Management does not manage this property - unable to locate property mgr  or Owner POC.
2/1 LL EM Bounced - need to find POC ","Realty One Group Sterling/ Austin Compton Prop. Mgr 
austin@ROG Sterling.com / 402-934-0074
Parcel ID (PIN) - 2408470000
Property Address - 4524 LAFAYETTE AV ","B3 Capital LLC
True Owner-  Benjamin Pick
10250 Regency Cir, Suite 300, Omaha, NE 68114
Benjamin Pick (402) 397-5500 (p) (402) 639-8145 (m)  bpick@pheblaw.com "
Site Data,NE,Omaha_MDU_4527 Decatur St,4527 DECATUR ST UNIT 1 OMAHA NE 68104,18,0,10/7/2025,Omaha,RS,,,Completed,46077,,ROE Obtained,,,"2/24 FE ROE MDU sent to team 
2/17 Resent ROE to Victor
2/13/26 Victor requested resending ROE for signature - I did 
2/11 Resent ROE to Victor / LMTCB
2/1 ROE to Victor / he usually signs ROE's ","Parcel ID (PIN) - 2147230002
Owner - PINE PARK PROPERTIES LLC 
Property Address - 4527 DECATUR ST ","Paladino Development Group
PINE PARK PROPERTIES LLC
2702 DOUGLAS ST, OMAHA, NE 68131
Property Management Company - / Owner 
Paladino - Benson Apartments
5140 Northwest Radial Hwy Omaha, NE 68104 (402) 763-0311 (p) 
Victor Ramirez  402-708-1211  pdgdirector@paladinodevelopmentgroup.com"
Site Data,NE,Omaha_MDU_4544 NICHOLAS ST,4544 NICHOLAS ST UNIT 10 OMAHA NE 68132,14,0,8/7/2025,Omaha,RS,,,Closed - Market Reviewed,46085,,2/4 Unable to Reach LL - Need Market Assistance ,,,"3/4 Status: Permanently Closed Grandview Properties LLC 
2/18 Need Market Assistance 
2/9 LMTCB / no response. 
2/4 Unable to Reach LL - Need Market Assistance  (402) 680-1010 (p) LMTCB Dream Vesting
2/1 LL EM bounced / Need more research ","Property Management
Orange - 4544 Nicholas St
(402) 680-1010 (p) Dream Vesting 
Parcel ID (PIN) - 2407430000
Property Address - 4544 NICHOLAS ST ","LAFAYETTE AND NICHOLAS APARTMENTS LLC
True Owner Lametrick Valdase
Lametrick Valdase (402) 718-5483 (p)
(402) 686-7469 (m)
lynette_v@aol.com - EMAIL BOUNCED"
Site Data,NE,Omaha_MDU_4606 Redman Ave,4602 REDMAN AVE UNIT 1 OMAHA NE 68104,22,1,5/23/2025,Omaha,RS,45644,,Completed,45644,,"ROE obtained
4602 -4604 - 4606- 4608 Redman Ave",,,ROE obtained,"Paladino Development 
(402) 763-0311 (p) 
Victor Ramirez  402-708-1211  pdgdirector@paladinodevelopmentgroup.com","Paladino Development Group
(402) 763-0311 (p) 
Victor Ramirez  402-708-1211  pdgdirector@paladinodevelopmentgroup.com"
Site Data,NE,Omaha_MDU_4611-4613 North 56th St,4611 N 56TH ST UNIT 1 OMAHA NE 68104,19,0,12/27/2023,Omaha,RS,,,Closed - Lost,45559,Existing Fiber,LL Denied Access  -Alyssa Lozano Three Pillars Property Management CEO,Cox,,,,
Site Data,NE,Omaha_MDU_4616 Redman Ave,4614 REDMAN AVE UNIT 10 OMAHA NE 68104,11,0,5/23/2025,Omaha,RS,45644,,Completed,45644,,"
 ROE obtained
4614-4616 Redman Ave ",,,ROE obtained,"Paladino Development 
(402) 763-0311 (p) 
Victor Ramirez  402-708-1211  pdgdirector@paladinodevelopmentgroup.com","Paladino Development Group
(402) 763-0311 (p) 
Victor Ramirez  402-708-1211  pdgdirector@paladinodevelopmentgroup.com"
Site Data,NE,Omaha_MDU_4618 Redman Ave,4618 REDMAN AVE UNIT 1 OMAHA NE 68104,17,0,5/23/2025,Omaha,RS,45644,,Completed,45644,,"ROE obtained 
4618-4620-4622 Redman Ave",,,ROE obtained,"Paladino Development 
(402) 763-0311 (p) 
Victor Ramirez  402-708-1211  pdgdirector@paladinodevelopmentgroup.com","Paladino Development Group
(402) 763-0311 (p) 
Victor Ramirez  402-708-1211  pdgdirector@paladinodevelopmentgroup.com"
Site Data,NE,Omaha_MDU_Wakeley Manor,"4621 WAKELEY ST UNIT 1 OMAHA NE 68132
4621 Wakeley St - Wakely Manor",20,0,9/23/2025,Omaha,RS,,,Closed - Lost,46086,Not Interested,,,,"3/5 Underwood returned my call / Not interested in installation. 
3/4 ROE to Underwood /  Market Notes: 402-318-5643 Lincoln Place 
Underwood Property Management leasing@underwoodpm.com    
https://www.underwoodpm.com/lincoln-place
2/18 Need Market Assistance 
2/12 Closed - Need market assistance/ No way to contact LL. 
2/1 Need to make Contact w/ LL","Parcel ID (PIN) - 1627370000
Owner - WATSON PROPERTIES LLC 
Property Address - 4621 WAKELEY ST ","WATSON PROPERTIES LLC 
John M Watson - owner
6226 N 76th St, Omaha, NE 68134
(402) 934-5889 (p) # not working. "
Site Data,NE,Omaha_MDU_4644-4648 Cuming St,"4644 CUMING ST UNIT 1 OMAHA NE 68132
Actual Property Address - 4648 CUMING ST ",24,0,8/25/2025,Omaha,RS,,,Closed - Lost,46057,Not Interested,2/4 Spk with Jo Wood - Prop. Mgr - she denied access for fiber . 402-342-2322,,,"2/4 Spk with Jo Wood - she denied access for fiber . 402-342-2322 Access Commercial / Property Manager: Jo  Wood - 
2/1 Need to make Contact w/ LL","Property Management
Jo Wood  • Midtown Property Manager
 jolene@homeathavenview.com  
 Havenview Residential Communities 
4910 Dodge Street, Suite 217
Omaha NE | 68132
Office: 402-885-7800 EXT 1 
www.homeathavenview.com 
Havenview -Access Commercial manages lots of properties / different manager for each property
Havenview - Cuming St
4648 Cuming St, Omaha, NE 68132
(402) 502-1983 (p)
homeathavenview.com
Parcel ID (PIN) - 2405420000
Owner - SOUTH O LLC 
Property Address - 4648 CUMING ST ","South O LI LLC
True Owner  Brian McKernan
1130 N 188th St  Elkhorn, NE 68022
(402) 592-7421 (p)
Brian McKernan
(402) 592-7421 (p)  (402) 556-2840 (m)
brianmckernan@hotmail.com"
Site Data,NE,Omaha_MDU_4705 Burdette St,"4701 BURDETTE ST UNIT 1 OMAHA NE 68104
Actual Property Address: 4705 Burdette St. ",17,0,9/22/2025,Omaha,RS,,,Closed - Market Reviewed,46085,,"2/9 Unable to Reach LL - Need Market Assistance
2/4 Exhausted all efforts to locate POC for property",,,"3/4 Market Notes:  Number not working /402-934-0772 Emerald Bay Apartment Homes
2/18 Need Market Assistance 
2/4 Exhausted all efforts to locate POC for property
2/1 Need to make Contact w/ LL","Property Management
Parcel ID (PIN) - 0533290002
Property Address - 4705 BURDETTE ST ","Douglas A Wellendorf
8819 Edgevale Pl, Omaha, NE 68114
(402) 391-0519 (p) not working # "
Site Data,NE,Omaha_MDU_4704 Cass St,4702 CASS ST UNIT 11 OMAHA NE 68132,16,0,8/28/2025,Omaha,RS,,,Closed - Lost,45589,Existing Fiber,LL Denied Access - I spoke to the LL and they said the building already has Cox and does not desire to have any additional systems installed.   Denied access. ,Cox,,,"Property Management- Pro Properties -
4702 Cass St, Omaha, NE 68132
propropertyomaha.com","John D Einung
True Owner / 
Seewealth Properties LLC-Recorded Owner
4411 N 142nd St, Omaha, NE 68164
(402) 445-0380 (p)"
Site Data,NE,Omaha_MDU_4713 Davenport St,4713 DAVENPORT ST UNIT 1 OMAHA NE 68132,12,0,9/23/2025,Omaha,RS,,,Closed - Lost,46093,Not Interested,LL has no interest ,,,"3/12 LL has no interest  
3/11 LMTCB w/Trina - no response to EM/VM 
3/5 ROE sent to Trina Gache 402-603-1010
3/4 LMTCB / Market Notes: 402-600-0253 -leasing  (402 4 Rent )Tenant Turner  / 402-603-1010  Trina Gache / Trina@402forrent.com 
2/18 Need Market Assistance 
2/9 LMTCB / no response. 
2/4 Unable to Reach LL - Need Market Assistance LMTCB (402) 416-9948 (p) does not work
2/1 LL contact not good - need to do more research to locate","Parcel ID (PIN) - 0715800000
Owner - ECCB LLC 
Property Address - 4713 DAVENPORT ST ","David Rasmussen
ECCB LLC  C/O REAL DEAL REALTY
121 S 13th St, Suite 800, Lincoln, NE 68516
(402) 416-9948 (p)  does not work
davidrasmussen@angelfire.com - EM BOUNCED"
Site Data,NE,Omaha_MDU_4716 Cuming St,"4716 CUMING ST UNIT 1 OMAHA NE 68132
Cuming Street Apartments",12,0,8/25/2025,Omaha,RS,,,Closed - Lost,46057,Not Interested,"2/9 Spoke with James Rogers, he is not interested in having fiber. Do not install",,,"2/9 LMTCB / no response
2/4 Unable to Reach LL - Need Market Assistance 
2/1 Need to make Contact w/ LL","Parcel ID (PIN) - 2405670000
Owner - J&S 4716 LLC 
(402) 909-5273 / James Rogers
Property Address - 4716 CUMING ST ","J & S 4716 LLC
True Owner Cuming Street Apartments
James B  Owner  (402) 909-5273 (p) "
