IronClad_Id__c,Record_Type_IC__c,Stage_IC__c,MDU_or_BUS__c,Property_State__c,Property_Address__c,Counterparty_Name__c,Record_Name__c,Agreement_Date__c,Workflow_Created_Date__c,Workflow_Completed_Date__c,Last_Activity_Action__c
IC-2964,Right of Entry Agreement,cancelled,BUS,Texas,"5250 North Tarrant Parkway, Fort Worth, Texas 76137, United States",Commercial Retail Group,Right of Entry Agreement with Commercial Retail Group,2026-03-24,2026-03-24,,Workflow canceled
IC-3034,Right of Entry Agreement,cancelled,BUS,Texas,"1161 E Southlake Blvd, Southlake, Texas 76092, United States",Fifth Corner,Right of Entry Agreement with Fifth Corner,2026-04-02,2026-04-02,,Email received
IC-3315,Right of Entry Agreement,cancelled,BUS,Texas,"500 N Hwy 377, Roanoke, Texas 76262, United States",Runyon's Fine Furniture,Right of Entry Agreement with Runyon's Fine Furniture,2026-04-21,2026-04-21,,Workflow canceled
IC-3241,Right of Entry Agreement,cancelled,BUS,Texas,"950 FM156, Justin, Texas 76247, United States",B&G Properties,Right of Entry Agreement with B&G Properties,2026-04-15,2026-04-15,,Workflow canceled
IC-3316,Right of Entry Agreement,cancelled,BUS,Texas,"6600 Denton Highway, Watauga, Texas 76148, United States",Nighat Chaudhry,Right of Entry Agreement with Nighat Chaudhry,2026-04-21,2026-04-21,,Workflow canceled
IC-3114,Right of Entry Agreement,cancelled,BUS,Texas,"10027 Harmon Rd, Fort Worth, Texas 76177, United States",Alakai capital,Right of Entry Agreement with Alakai capital,2026-04-07,2026-04-07,,Email received
IC-3112,Right of Entry Agreement,cancelled,BUS,Texas,"7420 N Beach St, Fort Worth, Texas 76137, United States",Victory Real Estate Group,Right of Entry Agreement with Victory Real Estate Group,2026-04-07,2026-04-07,,Workflow canceled
IC-2998,Right of Entry Agreement,cancelled,BUS,Texas,"2163 Golden Heights Rd, Fort Worth, Texas 76177, United States",Rose Cheung Revocable Living Trust,Right of Entry Agreement with Rose Cheung Revocable Living Trust,2026-03-30,2026-03-30,,Email received
IC-3242,Right of Entry Agreement,cancelled,BUS,Texas,"828 Boyd Rd, Azle, Texas 76020, United States",Chabolet,Right of Entry Agreement with Chabolet,2026-04-15,2026-04-15,,Email received
IC-3111,Right of Entry Agreement,cancelled,BUS,Texas,"10011 Harmon Rd, Fort Worth, Texas 76177, United States",Alakai Capital,Right of Entry Agreement with Alakai Capital,2026-04-07,2026-04-07,,Email received
IC-3847,Right of Entry Agreement,cancelled,BUS,Texas,"500 W Southlake Blvd, Southlake, Texas 76092, United States",CH Retail Fund II / Southlake Oaks LP,Right of Entry Agreement with CH Retail Fund II / Southlake Oaks LP,2026-05-20,2026-05-20,,Workflow canceled
IC-3846,Right of Entry Agreement,cancelled,BUS,Texas,"2600 E Southlake Blvd, Southlake, Texas 76092, United States","Stonewood Investments, Inc.","Right of Entry Agreement with Stonewood Investments, Inc.",2026-05-20,2026-05-20,,Workflow canceled
IC-3845,Right of Entry Agreement,cancelled,BUS,Texas,"1212 North Highway 377, Roanoke, Texas 76262, United States",ACF Properties,Right of Entry Agreement with ACF Properties,2026-05-20,2026-05-20,,Workflow canceled
IC-3797,Right of Entry Agreement,cancelled,BUS,Texas,"950 FM156, Justin, Texas 76247, United States",B & G Properties LLC,Right of Entry Agreement with B & G Properties LLC,2026-05-12,2026-05-12,,Workflow canceled
IC-3334,Right of Entry Agreement,cancelled,BUS,Texas,"6245 Rufe Snow Drive, Watauga, Texas 76148, United States",Weitzman Group,Right of Entry Agreement with Weitzman Group,2026-04-27,2026-04-27,,Workflow canceled
IC-3796,Right of Entry Agreement,cancelled,BUS,Texas,"16433 Hudson Prairie Way, Northlake, Texas 76247, United States",Bruce Meltzer,Right of Entry Agreement with Bruce Meltzer,2026-05-12,2026-05-12,,Workflow canceled
IC-3848,Right of Entry Agreement,cancelled,BUS,Texas,"808 School House Road, Haslet, Texas 76052, United States",School House Road  808 LLC,Right of Entry Agreement with School House Road  808 LLC,2026-05-20,2026-05-20,,Workflow canceled
IC-3850,Right of Entry Agreement,cancelled,BUS,Texas,"630 East Southlake Boulevard, Southlake, Texas 76092, United States",Bicentennial Financial Center LP,Right of Entry Agreement with Bicentennial Financial Center LP,2026-05-20,2026-05-20,,Workflow canceled
IC-2185,Right of Entry Agreement,completed,HOA,Arizona,"1501 West Jerome Avenue, Mesa, Arizona 85202, United States",Park Place Association Inc,Right of Entry Agreement with Park Place Association Inc,2026-01-15,2026-01-15,2026-01-21,Contract auto-archived
IC-1723,Right of Entry Agreement,completed,MDU,Nebraska,"4750 Lafayette Avenue, Parcel ID 2408090000, Omaha, Nebraska 68132, United States",Corsica Apartments LLC,Right of Entry Agreement with Corsica Apartments LLC,2025-10-22,2025-10-22,2025-10-24,Contract archived
IC-1823,Right of Entry Agreement,completed,MDU,Nebraska,"4727 California Street, Parcel ID 1626600000, Omaha, Nebraska 68132, United States",Farrens Properties III LLC,Right of Entry Agreement with Farrens Properties III LLC,2025-11-18,2025-11-18,2025-12-02,Contract auto-archived
IC-2820,Right of Entry Agreement,completed,MDU,Nebraska,"101 South 87th Street, Omaha, Nebraska 68114, United States",Indian Hills Village JBC ETAL,Right of Entry Agreement with Indian Hills Village JBC ETAL,2026-02-24,2026-02-24,2026-03-18,Contract auto-archived
IC-2671,Right of Entry Agreement,completed,MDU,Nebraska,"4960 NW Radial Hwy, Omaha, Nebraska 68104, United States",JIM BONE 4960 LLC,Right of Entry Agreement with JIM BONE 4960 LLC,2026-02-02,2026-02-03,2026-02-04,Contract auto-archived
IC-1855,Right of Entry Agreement,completed,MDU,Nebraska,"725 N 30th St, Omaha, Nebraska 68131, United States",Lincoln Henderson Omaha North 30th St LLC,Right of Entry Agreement with Lincoln Henderson Omaha North 30th St LLC,2025-11-24,2025-11-24,2025-11-24,Contract auto-archived
IC-2819,Right of Entry Agreement,completed,MDU,Nebraska,"107 South 87th Street, Omaha, Nebraska 68114, United States",INDIAN HILLS VILLAGE JBC ETAL,Right of Entry Agreement with INDIAN HILLS VILLAGE JBC ETAL,2026-02-24,2026-02-24,2026-03-18,Contract auto-archived
IC-2155,Right of Entry Agreement,completed,MDU,Texas,"351 Exchange Boulevard, Unit 100, Parcel ID R577383, Hutto, Texas 78634, United States",North Forest Office Space,Right of Entry Agreement with North Forest Office Space,2026-01-09,2026-01-09,2026-01-09,Contract auto-archived
IC-3317,Right of Entry Agreement,completed,MDU,Nebraska,"6016 Birch Street, Omaha, Nebraska 68104, United States",Schon Enterprises LLC,Right of Entry Agreement with Schon Enterprises LLC,2026-04-21,2026-04-21,2026-04-30,Contract auto-archived
IC-4227,Right of Entry Agreement,completed,BUS,Nebraska,"6720 North 30th Street, 6714-6720 N 30th St - Former Minne Lusa Theater, Omaha, Nebraska 68112, United States",Banister's Leadership Academy,Right of Entry Agreement with Banister's Leadership Academy,2026-06-30,2026-06-30,2026-07-15,Contract auto-archived
IC-2953,Right of Entry Agreement,review,BUS,Arizona,"415 North Val Vista Drive, Mesa, Arizona 85213, United States",Triple V LLC,Right of Entry Agreement with Triple V LLC,2026-03-19,2026-03-19,,Workflow launched
IC-2813,Right of Entry Agreement,review,MDU,Arizona,"750 East 1st Avenue, Mesa, Arizona 85204, United States",750 E 1st Ave REO LLC,Right of Entry Agreement with 750 E 1st Ave REO LLC,2026-02-20,2026-02-20,,Information edited
IC-2715,Right of Entry Agreement,review,MDU,Texas,"310 North Gilmer Street, Killeen, Texas 76541, United States",PFJN 2023 LLC,Right of Entry Agreement with PFJN 2023 LLC,2026-02-11,2026-02-11,,Workflow launched
IC-2669,Right of Entry Agreement,review,MDU,Texas,"1901 N 10th St, Killeen, Texas 76541, United States",1901 Killeen LLC,Right of Entry Agreement with 1901 Killeen LLC,2026-02-02,2026-02-02,,Reverted to Review
IC-3246,Right of Entry Agreement,review,BUS,Arizona,"1955 West Baseline Road, Mesa, Arizona 85202, United States",Fiesta Pad LLC,Right of Entry Agreement with Fiesta Pad LLC,2026-04-16,2026-04-16,,Workflow launched
IC-3009,Right of Entry Agreement,review,BUS,Arizona,"2222 South Dobson Road, Mesa, Arizona 85202, United States","Dover Shores Property Owners Association, Inc","Right of Entry Agreement with Dover Shores Property Owners Association, Inc",2026-03-31,2026-03-31,,Workflow launched
IC-3120,Right of Entry Agreement,review,BUS,Arizona,"1840 West Southern Avenue, Mesa, Arizona 85202, United States",Aghtamar LLC,Right of Entry Agreement with Aghtamar LLC,2026-04-08,2026-04-08,,Workflow launched
IC-3002,Right of Entry Agreement,review,BUS,Arizona,"737 West Guadalupe Road, Mesa, Arizona 85210, United States",Mesa Unified School District #4,Right of Entry Agreement with Mesa Unified School District #4,2026-03-31,2026-03-31,,Information edited
IC-3113,Right of Entry Agreement,review,BUS,Arizona,"941 South Dobson Road, Mesa, Arizona 85202, United States",Yalee Investments LLC,Right of Entry Agreement with Yalee Investments LLC,2026-04-07,2026-04-07,,Workflow launched
IC-3249,Right of Entry Agreement,review,BUS,Arizona,"1240 West Southern Avenue, Mesa, Arizona 85202, United States",GM Elped LLC,Right of Entry Agreement with GM Elped LLC,2026-04-16,2026-04-16,,Workflow launched
IC-3253,Right of Entry Agreement,review,BUS,Arizona,"1855 South Country Club Drive, Mesa, Arizona 85210, United States",Empire Properties Inc,Right of Entry Agreement with Empire Properties Inc,2026-04-16,2026-04-16,,Workflow launched
IC-3266,Right of Entry Agreement,review,BUS,Arizona,"4406 East Main Street, Mesa, Arizona 85205, United States",TB Hole 8 LLC,Right of Entry Agreement with TB Hole 8 LLC,2026-04-17,2026-04-17,,Workflow launched
IC-3003,Right of Entry Agreement,review,BUS,Arizona,"1930 South Alma School Road, Mesa, Arizona 85210, United States",Cordova Investment Partners LLC,Right of Entry Agreement with Cordova Investment Partners LLC,2026-03-31,2026-03-31,,Information edited
IC-3254,Right of Entry Agreement,review,BUS,Arizona,"1818 East Southern Avenue, Mesa, Arizona 85204, United States",Douglas Dean and Diana Ruth Goyer,Right of Entry Agreement with Douglas Dean and Diana Ruth Goyer,2026-04-16,2026-04-16,,Workflow launched
IC-3252,Right of Entry Agreement,review,BUS,Arizona,"1255 East Southern Avenue, Mesa, Arizona 85204, United States",Haz Mor La Gran LLC,Right of Entry Agreement with Haz Mor La Gran LLC,2026-04-16,2026-04-16,,Information edited
IC-3753,Right of Entry Agreement,review,BUS,Arizona,"4353 East University Drive, Mesa, Arizona 85205, United States",Saibaba Investments LLC,Right of Entry Agreement with Saibaba Investments LLC,2026-05-06,2026-05-06,,Workflow launched
IC-3503,Right of Entry Agreement,review,BUS,AZ,"2045 S. Vineyard, Building 5, Mesa, AZ 85210, United States",Odyssey Professional Real Estate LLC,Right of Entry Agreement with Odyssey Professional Real Estate LLC,2026-04-29,2026-04-29,,Information edited
IC-3344,Right of Entry Agreement,review,BUS,Arizona,"1950 South Country Club Drive, Mesa, Arizona 85210, United States",Country Club URMTA LLC,Right of Entry Agreement with Country Club URMTA LLC,2026-04-28,2026-04-28,,Workflow launched
IC-3343,Right of Entry Agreement,review,BUS,Arizona,"1940 South Country Club Drive, Mesa, Arizona 85210, United States",Country Club URMTA LLC,Right of Entry Agreement with Country Club URMTA LLC,2026-04-28,2026-04-28,,Workflow launched
IC-3341,Right of Entry Agreement,review,BUS,Arizona,"2120 West Guadalupe Road, Mesa, Arizona 85202, United States",2120 W Guadalupe LLC,Right of Entry Agreement with 2120 W Guadalupe LLC,2026-04-28,2026-04-28,,Workflow launched
IC-3340,Right of Entry Agreement,review,BUS,Arizona,"2050 West Guadalupe Road, Mesa, Arizona 85202, United States",2050 W Guadalupe LLC,Right of Entry Agreement with 2050 W Guadalupe LLC,2026-04-28,2026-04-28,,Information edited
IC-4040,Right of Entry Agreement,review,BUS,Arizona,"2815 South Alma School Road, Mesa, Arizona 85210, United States",Seville Square Mesa LLC,Right of Entry Agreement with Seville Square Mesa LLC,2026-06-02,2026-06-02,,Workflow launched
IC-4147,Right of Entry Agreement,review,BUS,Arizona,"2115 West Guadalupe Road, Mesa, Arizona 85202, United States",2115-2121 WGRD LLC,Right of Entry Agreement with 2115-2121 WGRD LLC,2026-06-10,2026-06-10,,Information edited
IC-4146,Right of Entry Agreement,review,BUS,Arizona,"2345 South Alma School Road, Mesa, Arizona 85210, United States",Tinalden Ventures LLC,Right of Entry Agreement with Tinalden Ventures LLC,2026-06-10,2026-06-10,,Information edited
IC-4043,Right of Entry Agreement,review,BUS,Arizona,"2722 South Alma School Road, Mesa, Arizona 85210, United States",75 Cactus LLC,Right of Entry Agreement with 75 Cactus LLC,2026-06-05,2026-06-05,,Workflow launched
IC-4169,Right of Entry Agreement,review,BUS,Arizona,"4410 East University Drive, Mesa, Arizona 85205, United States",Greenfield Plaza LLC,Right of Entry Agreement with Greenfield Plaza LLC,2026-06-16,2026-06-16,,Workflow launched
IC-4168,Right of Entry Agreement,review,BUS,Arizona,"420 East Southern Avenue, Mesa, Arizona 85204, United States",Mesa Southern Center LLC,Right of Entry Agreement with Mesa Southern Center LLC,2026-06-16,2026-06-16,,Workflow launched
IC-2933,Right of Entry Agreement,sign,BUS,Arizona,"1121 South Wilbur, Mesa, Arizona 85210, United States",Wong Properties LP/3344 Rowena Avenue LLC,Right of Entry Agreement with Wong Properties LP/3344 Rowena Avenue LLC,2026-03-18,2026-03-18,,Signature request canceled
IC-2948,Right of Entry Agreement,sign,BUS,Arizona,"1136 E Harmony Ave, Mesa, Arizona 85204, United States",Harmony Mesa Properties LLC,Right of Entry Agreement with Harmony Mesa Properties LLC,2026-03-18,2026-03-18,,Signature request canceled
IC-2962,Right of Entry Agreement,sign,BUS,Arizona,"330 East Southern Avenue, Mesa, Arizona 85210, United States",RMEG Investments LLC,Right of Entry Agreement with RMEG Investments LLC,2026-03-24,2026-03-24,,Signature request canceled
IC-2844,Right of Entry Agreement,sign,MDU,Arizona,"215 East 1st Avenue, Mesa, Arizona 85210, United States",Lamar Rentals LLC,Right of Entry Agreement with Lamar Rentals LLC,2026-02-26,2026-02-26,,Signature requested
IC-2951,Right of Entry Agreement,sign,BUS,Arizona,"1819 East Southern Avenue, Mesa, Arizona 85204, United States",1819 Southern LLC,Right of Entry Agreement with 1819 Southern LLC,2026-03-19,2026-03-19,,Signature request canceled
IC-2984,Right of Entry Agreement,sign,BUS,Arizona,"101 East 1st Avenue, Mesa, Arizona 85210, United States",Heritage Academy Inc,Right of Entry Agreement with Heritage Academy Inc,2026-03-26,2026-03-26,,Signature request canceled
IC-2920,Right of Entry Agreement,sign,BUS,Arizona,"1845 South Dobson Road, Mesa, Arizona 85202, United States",Continental Commercial Group LLC/ Dobson Lakeside Properties LLC,Right of Entry Agreement with Continental Commercial Group LLC/ Dobson Lakeside Properties LLC,2026-03-12,2026-03-12,,Signature requested
IC-2907,Right of Entry Agreement,sign,BUS,Arizona,"2602 West Baseline Road, Mesa, Arizona 85202, United States",Triple Delta Corporation,Right of Entry Agreement with Triple Delta Corporation,2026-03-10,2026-03-10,,Signature requested
IC-2977,Right of Entry Agreement,sign,BUS,Arizona,"3918 East Main Street, Mesa, Arizona 85205, United States",GVB Properties LLC,Right of Entry Agreement with GVB Properties LLC,2026-03-25,2026-03-25,,Signature request canceled
IC-2919,Right of Entry Agreement,sign,BUS,Arizona,"320 East 10th Drive, Mesa, Arizona 85210, United States",Parque Industrial Partners V,Right of Entry Agreement with Parque Industrial Partners V,2026-03-12,2026-03-12,,Signature requested
IC-2912,Right of Entry Agreement,sign,BUS,Arizona,"127 West Juanita Avenue, Mesa, Arizona 85210, United States",Essex II LLC,Right of Entry Agreement with Essex II LLC,2026-03-10,2026-03-10,,Signature requested
IC-2929,Right of Entry Agreement,sign,BUS,Arizona,"645 South Country Club Drive, Mesa, Arizona 85210, United States",Mesa Commercial Partners LLC,Right of Entry Agreement with Mesa Commercial Partners LLC,2026-03-17,2026-03-17,,Signature requested
IC-2949,Right of Entry Agreement,sign,BUS,Arizona,"1310 East Southern Avenue, Mesa, Arizona 85204, United States",Pruthi Properties LLC,Right of Entry Agreement with Pruthi Properties LLC,2026-03-18,2026-03-18,,Signature request canceled
IC-2675,Right of Entry Agreement,sign,MDU,Texas,"404 N 16th St, Killeen, Texas 76541, United States",Barukh Atah LLC,Right of Entry Agreement with Barukh Atah LLC,2026-02-03,2026-02-03,,Signature request canceled
IC-2610,Right of Entry Agreement,sign,MDU,Texas,"507 N Gilmer St, Killeen, Texas 76541, United States",Skylite Investment Group LLC,Right of Entry Agreement with Skylite Investment Group LLC,2026-01-29,2026-01-29,,Signature request canceled
IC-2689,Right of Entry Agreement,sign,MDU,Texas,"1204 Bundrant Drive, Killeen, Texas 76543, United States",Primegate Capital Investment LLC,Right of Entry Agreement with Primegate Capital Investment LLC,2026-02-05,2026-02-05,,Signature request canceled
IC-2702,Right of Entry Agreement,sign,MDU,Texas,"103 W Dunn Ave, Killeen, Texas 76541, United States",New Day Homes TX LLC,Right of Entry Agreement with New Day Homes TX LLC,2026-02-10,2026-02-10,,Signature request canceled
IC-2717,Right of Entry Agreement,sign,MDU,Texas,"405 Root Avenue, Killeen, Texas 76541, United States",Tuxify Investments LLC,Right of Entry Agreement with Tuxify Investments LLC,2026-02-11,2026-02-11,,Signature request canceled
IC-2891,Right of Entry Agreement,sign,MDU,Texas,"414 E Avenue A, Killeen, Texas 76541, United States",PVNRE LLC,Right of Entry Agreement with PVNRE LLC,2026-03-09,2026-03-09,,Signature requested
IC-2673,Right of Entry Agreement,sign,MDU,Texas,"1507 N 8th St, Killeen, Texas 76541, United States",Kumra Investments LLC - North Eighth Street Series,Right of Entry Agreement with Kumra Investments LLC - North Eighth Street Series,2026-02-03,2026-02-03,,Signature request canceled
IC-2589,Right of Entry Agreement,sign,MDU,Texas,"715 W Ave E, Killeen, Texas 76541, United States",1302 Garth LLC,Right of Entry Agreement with 1302 Garth LLC,2026-01-29,2026-01-29,,Signature request canceled
IC-2787,Right of Entry Agreement,sign,MDU,Texas,"306 North Gilmer Street, Killeen, Texas 76541, United States",DKZ LLC,Right of Entry Agreement with DKZ LLC,2026-02-13,2026-02-13,,Signature requested
IC-2793,Right of Entry Agreement,sign,MDU,Texas,"1104 Garth Dr, Killeen, Texas 76541, United States",Bay's Super Markets Inc,Right of Entry Agreement with Bay's Super Markets Inc,2026-02-18,2026-02-18,,Signature requested
IC-2802,Right of Entry Agreement,sign,MDU,Texas,"207 W Young Ave, Killeen, Texas 76541, United States",Ok K Lowe,Right of Entry Agreement with Ok K Lowe,2026-02-19,2026-02-19,,Signature requested
IC-2632,Right of Entry Agreement,sign,MDU,Texas,"411 East Central Texas Expressway, Killeen, Texas 76541, United States",Middles Investment Group LLC,Right of Entry Agreement with Middles Investment Group LLC,2026-01-30,2026-01-30,,Signature request canceled
IC-2668,Right of Entry Agreement,sign,MDU,Texas,"2106 Holly Springs Drive, Taylor, Texas 76574, United States",DIGITTS LTD,Right of Entry Agreement with DIGITTS LTD,2026-02-02,2026-02-02,,Signature request canceled
IC-2594,Right of Entry Agreement,sign,MDU,TX,"305 Blair Street, Killeen, TX 76541, United States",Brian & Colleen Brehm,Right of Entry Agreement with Brian & Colleen Brehm,2026-01-29,2026-01-29,,Signature request canceled
IC-2686,Right of Entry Agreement,sign,MDU,Texas,"1808 N 8th St, Killeen, Texas 76541, United States",Manila Investments LLC,Right of Entry Agreement with Manila Investments LLC,2026-02-04,2026-02-04,,Signature request canceled
IC-2695,Right of Entry Agreement,sign,MDU,Texas,"308 North 18th Street, Killeen, Texas 76541, United States",V & C Properties LLC,Right of Entry Agreement with V & C Properties LLC,2026-02-06,2026-02-06,,Signature request canceled
IC-2808,Right of Entry Agreement,sign,MDU,Texas,"119 W Young Ave, Killeen, Texas 76541, United States",CIC Real Estate LLC,Right of Entry Agreement with CIC Real Estate LLC,2026-02-19,2026-02-19,,Signature requested
IC-2634,Right of Entry Agreement,sign,MDU,Texas,"308 N 14th St, Killeen, Texas 76541, United States",Kate Junghee Suh,Right of Entry Agreement with Kate Junghee Suh,2026-01-30,2026-01-30,,Signature request canceled
IC-2786,Right of Entry Agreement,sign,MDU,Texas,"117 West Avenue A, Killeen, Texas 76541, United States",JQ 1 LLC,Right of Entry Agreement with JQ 1 LLC,2026-02-13,2026-02-13,,Signature requested
IC-2922,Right of Entry Agreement,sign,MDU,Texas,"200 NE 27th St, Mineral Wells, Texas 76067, United States",Mineral Wells Housing Authority,Right of Entry Agreement with Mineral Wells Housing Authority,2026-03-12,2026-03-12,,Signature requested
IC-2710,Right of Entry Agreement,sign,MDU,Texas,"2103 East Veterans Memorial Boulevard, Killeen, Texas 76541, United States",James Lawhun et al,Right of Entry Agreement with James Lawhun et al,2026-02-10,2026-02-10,,Signature request canceled
IC-2705,Right of Entry Agreement,sign,MDU,Texas,"809 Root Avenue, Killeen, Texas 76541, United States",LA & KO Investments LLC,Right of Entry Agreement with LA & KO Investments LLC,2026-02-10,2026-02-10,,Signature request canceled
IC-2608,Right of Entry Agreement,sign,MDU,Texas,"1800 N 4th St, Killeen, Texas 76541, United States",Starlight Properties LLC,Right of Entry Agreement with Starlight Properties LLC,2026-01-29,2026-01-29,,Signature request canceled
IC-2674,Right of Entry Agreement,sign,MDU,Texas,"1807 Mulford Street, Killeen, Texas 76541, United States",Landmark Hill Investments LLC,Right of Entry Agreement with Landmark Hill Investments LLC,2026-02-03,2026-02-03,,Signature request canceled
IC-2680,Right of Entry Agreement,sign,MDU,Texas,"108 East Dunn Avenue, Killeen, Texas 76541, United States",Rivera & Associates Realty Corp,Right of Entry Agreement with Rivera & Associates Realty Corp,2026-02-04,2026-02-04,,Signature request canceled
IC-2672,Right of Entry Agreement,sign,MDU,Texas,"1117 N 8th St, Killeen, Texas 76541, United States",CPOW Property LLC,Right of Entry Agreement with CPOW Property LLC,2026-02-03,2026-02-03,,Signature request canceled
IC-3265,Right of Entry Agreement,sign,BUS,Arizona,"303 East Southern Avenue, Mesa, Arizona 85210, United States",Property Management Advisors,Right of Entry Agreement with Property Management Advisors,2026-04-17,2026-04-17,,Signature request canceled
IC-3139,Right of Entry Agreement,sign,BUS,Arizona,"1855 West Baseline Road, Mesa, Arizona 85202, United States",1855 Baseline LLC,Right of Entry Agreement with 1855 Baseline LLC,2026-04-09,2026-04-09,,Signature request canceled
IC-3565,Right of Entry Agreement,sign,BUS,Arizona,"3050 South Country Club Drive, Mesa, Arizona 85210, United States",Pegasus Mesa Owner LLC,Right of Entry Agreement with Pegasus Mesa Owner LLC,2026-04-29,2026-04-29,,Signature requested
IC-4029,Right of Entry Agreement,sign,BUS,Arizona,"835 East Southern Avenue, Mesa, Arizona 85204, United States",Sherwood Investments LLC,Right of Entry Agreement with Sherwood Investments LLC,2026-05-27,2026-05-27,,Signature requested
IC-4030,Right of Entry Agreement,sign,BUS,Arizona,"1916 West Baseline Road, Mesa, Arizona 85202, United States","Construction Electrical Services, LLC","Right of Entry Agreement with Construction Electrical Services, LLC",2026-05-27,2026-05-27,,Signature requested
IC-4145,Right of Entry Agreement,sign,BUS,Arizona,"1036 East Southern Avenue, Mesa, Arizona 85204, United States",Mesa Ranch 24 LP,Right of Entry Agreement with Mesa Ranch 24 LP,2026-06-10,2026-06-10,,Signature requested
IC-4171,Right of Entry Agreement,sign,BUS,Texas,"1000 Medical Drive, Killeen, Texas, 76543, United State",Dong Kim,Right of Entry Agreement with Dong Kim,2026-06-16,2026-06-16,,Signature requested
IC-4228,Right of Entry Agreement,sign,BUS,Texas,"707 Woodrow Wilson Ray Circle, Bridgeport, Texas 76426, United States",Charles Mauldin,Right of Entry Agreement with Charles Mauldin,2026-06-30,2026-06-30,,Email received
IC-4242,Right of Entry Agreement,sign,BUS,Texas,"6245 Rufe Snow Drive, Watauga, Texas 76148, United States","Brooks Crossing SC, LTD, a Texas limited partnership,","Right of Entry Agreement with Brooks Crossing SC, LTD, a Texas limited partnership,",2026-07-09,2026-07-09,,Email received
